 List Price ,City,State,Address,Zip Code,# of Bedrooms,# of Bathrooms,Square Feet,Lot Size,# of  Car Spaces,Year Built,Price/Sq Ft,Property Tax
1295000,Smithtown,New York,4 Three Pond Rd,11787,6,6,4490,52272,7,1966,288,25110
285000,Smithtown,New York,104 Lawrence Ave,11787,3,3,1800,16117.2,1,1947,158,10208
549000,Smithtown,New York,26 Branch Drive,11787,3,2,1744,25264.8,2,1966,315,14260
375000,Smithtown,New York,6 Lower Rd,11787,4,4,2650,21780,2,1978,142,12346
429999,Smithtown,New York,81 Birchbrook Dr.,11787,3,2,1480,18730.8,2,1956,291,9371
659000,Smithtown,New York,12 Scott Drive,11787,4,3,2495,15246,2,1966,264,14483
386900,Smithtown,New York,201 New York Ave,11787,2,2,1527,6098.4,1,1950,253,8757
675000,Smithtown,New York,61 Mobrey Ln,11787,4,4,1602,21780,2,1968,421,3397
449999,Smithtown,New York,2 Hancock St,11787,3,1,1081,10890,2,1965,416,7853
565000,Smithtown,New York,27 Averly Place,11787,3,2,1732,24393.6,4,1945,298,2909
449999,Smithtown,New York,61 Annette Ave,11787,3,2,1420,10018.8,6,1942,317,7512
389999,Smithtown,New York,29 Hillcrest Dr,11787,2,2,830,15246,2,1941,470,5011
429000,Smithtown,New York,62 Stony Hill Path,11787,2,1,1020,21780,2,1943,421,7177
474900,Smithtown,New York,1 Monitor Rd,11787,2,2,2120,15246,2,1998,224,9374
545000,Smithtown,New York,2 Rogers Ln,11787,4,2,2100,12632.4,2,1963,260,9828
387191,Smithtown,New York,450 Route 111,11787,5,2,1528,11325.6,2,1962,253,2999
285000,Smithtown,New York,104 Lawrence Ave,11787,3,3,1800,16117.2,1,1947,158,10208
449999,Smithtown,New York,28 Sherbrooke Dr,11787,3,2,1140,11325.6,2,1960,394,1254
569000,Smithtown,New York,117 Paddington Cir,11787,3,3,1935,15246,3,2002,294,12722
769000,Smithtown,New York,93 Shirley Ct,11787,4,3,3300,25700.4,6,1988,233,3490
1399000,Northport,New York,11 Clancy Dr,11768,6,5,5000,43560,3,1967,280,2693
729000,Northport,New York,69 Hastings Dr,11768,5,3,4263,43560,8,1970,171,14162
1579000,Northport,New York,9 Rolling Meadow Ln,11768,5,5,4800,43560,8,2005,329,30928
629000,Northport,New York,51 Timber Point Dr,11768,4,3,2728,20473.2,8,1992,231,13089
1059000,Northport,New York,5 Ocean Ave,11768,5,5,4500,69696,2,2001,235,15433
769000,Northport,New York,21 Trescott Path,11768,4,4,2575,52272,8,1969,299,15899
1068999,Northport,New York,26 Clipper Dr,11768,6,5,5620,43560,4,1978,190,16082
1100000,Northport,New York,104 Gun Club Rd,11768,5,4,3500,33541.2,8,2008,314,1451
1325000,Northport,New York,106 Gun Club Rd,11768,5,4,4250,32670,8,2007,312,1415
699900,Northport,New York,1 Sea Cove Rd,11768,4,2,2127,24393.6,8,1958,322,8080
850000,Northport,New York,349 Scudder Ave,11768,5,3,5000,43560,4,1960,170,9849
565000,Northport,New York,118 Lisa Dr,11768,3,3,1740,23086.8,4,1986,325,5515
749000,Northport,New York,23 5th Ave,11768,3,4,2100,16988.4,3,1915,357,4404
699000,Northport,New York,1 Sailfish Pl,11768,3,3,2200,24393.6,4,1954,318,8513
649000,Northport,New York,4 Fransal Ct,11768,4,3,2300,13068,6,1972,282,8263
789000,Northport,New York,201 Woodbine Ave,11768,3,3,4500,8267,1,1933,175,8650
829000,Northport,New York,141 Scudder Ave,11768,5,4,3456,13068,4,2006,234,12406
489000,Northport,New York,7 Kalmia St,11731,3,2,1210,8712,2,1979,404,6876
499000,Northport,New York,12 E Haven Ln,11731,3,2,1800,7841,5,1958,277,9637
